,seqno,send.timestamp,receive.timestamp,gtp.out.timestamp,gtp.out.length,gtp.out.sn,sdap.sdu.timestamp,sdap.sdu.length,pdcp.decoded.timestamp,pdcp.decoded.length,rlc.reassembled.0.rlc.reassembled.MRbuf,rlc.reassembled.0.rlc.reassembled.timestamp,rlc.reassembled.0.rlc.reassembled.length,rlc.reassembled.0.rlc.decoded.lcid,rlc.reassembled.0.rlc.decoded.hqpid,rlc.reassembled.0.rlc.decoded.frame,rlc.reassembled.0.rlc.decoded.slot,rlc.reassembled.0.rlc.decoded.timestamp,rlc.reassembled.0.rlc.decoded.length,rlc.reassembled.0.mac.demuxed.frame,rlc.reassembled.0.mac.demuxed.slot,rlc.reassembled.0.mac.demuxed.ldpciter,rlc.reassembled.0.mac.demuxed.mcs,rlc.reassembled.0.mac.demuxed.hqpid,rlc.reassembled.0.mac.demuxed.hqround,rlc.reassembled.0.mac.demuxed.timestamp,rlc.reassembled.0.mac.demuxed.length,rlc.reassembled.0.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.0.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.0.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.0.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.0.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.1.rlc.reassembled.MRbuf,rlc.reassembled.1.rlc.reassembled.timestamp,rlc.reassembled.1.rlc.reassembled.length,rlc.reassembled.1.rlc.decoded.lcid,rlc.reassembled.1.rlc.decoded.hqpid,rlc.reassembled.1.rlc.decoded.frame,rlc.reassembled.1.rlc.decoded.slot,rlc.reassembled.1.rlc.decoded.timestamp,rlc.reassembled.1.rlc.decoded.length,rlc.reassembled.1.mac.demuxed.frame,rlc.reassembled.1.mac.demuxed.slot,rlc.reassembled.1.mac.demuxed.ldpciter,rlc.reassembled.1.mac.demuxed.mcs,rlc.reassembled.1.mac.demuxed.hqpid,rlc.reassembled.1.mac.demuxed.hqround,rlc.reassembled.1.mac.demuxed.timestamp,rlc.reassembled.1.mac.demuxed.length,rlc.reassembled.1.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.1.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.1.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.1.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.1.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.2.rlc.reassembled.MRbuf,rlc.reassembled.2.rlc.reassembled.timestamp,rlc.reassembled.2.rlc.reassembled.length,rlc.reassembled.2.rlc.decoded.lcid,rlc.reassembled.2.rlc.decoded.hqpid,rlc.reassembled.2.rlc.decoded.frame,rlc.reassembled.2.rlc.decoded.slot,rlc.reassembled.2.rlc.decoded.timestamp,rlc.reassembled.2.rlc.decoded.length,rlc.reassembled.2.mac.demuxed.frame,rlc.reassembled.2.mac.demuxed.slot,rlc.reassembled.2.mac.demuxed.ldpciter,rlc.reassembled.2.mac.demuxed.mcs,rlc.reassembled.2.mac.demuxed.hqpid,rlc.reassembled.2.mac.demuxed.hqround,rlc.reassembled.2.mac.demuxed.timestamp,rlc.reassembled.2.mac.demuxed.length,rlc.reassembled.2.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.2.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.2.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.2.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.2.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.0.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.0.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.0.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.0.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.0.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.1.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.1.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.1.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.1.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.1.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.2.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.2.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.2.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.2.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.2.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.3.rlc.reassembled.MRbuf,rlc.reassembled.3.rlc.reassembled.timestamp,rlc.reassembled.3.rlc.reassembled.length,rlc.reassembled.3.rlc.decoded.lcid,rlc.reassembled.3.rlc.decoded.hqpid,rlc.reassembled.3.rlc.decoded.frame,rlc.reassembled.3.rlc.decoded.slot,rlc.reassembled.3.rlc.decoded.timestamp,rlc.reassembled.3.rlc.decoded.length,rlc.reassembled.3.mac.demuxed.frame,rlc.reassembled.3.mac.demuxed.slot,rlc.reassembled.3.mac.demuxed.ldpciter,rlc.reassembled.3.mac.demuxed.mcs,rlc.reassembled.3.mac.demuxed.hqpid,rlc.reassembled.3.mac.demuxed.hqround,rlc.reassembled.3.mac.demuxed.timestamp,rlc.reassembled.3.mac.demuxed.length,rlc.reassembled.3.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.3.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.3.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.3.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.3.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.3.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.3.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.3.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.3.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.3.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.0.mac.demuxed.mac.decoded.2.timestamp,rlc.reassembled.0.mac.demuxed.mac.decoded.2.frame,rlc.reassembled.0.mac.demuxed.mac.decoded.2.slot,rlc.reassembled.0.mac.demuxed.mac.decoded.2.hqpid,rlc.reassembled.0.mac.demuxed.mac.decoded.2.hqround,rlc.reassembled.1.mac.demuxed.mac.decoded.2.timestamp,rlc.reassembled.1.mac.demuxed.mac.decoded.2.frame,rlc.reassembled.1.mac.demuxed.mac.decoded.2.slot,rlc.reassembled.1.mac.demuxed.mac.decoded.2.hqpid,rlc.reassembled.1.mac.demuxed.mac.decoded.2.hqround
124,123,1722015962.932635,1722015962.9514706,1722015962.951432,128,124,1722015962.951429,128,1722015962.951423,131,1931185666,1722015962.951423,95,4,10,250,17,1722015962.951422,100,250,17,3,9,10,0,1722015962.951422,120,1722015962.951351,250,17,10,0,1931185666,1722015962.946377,36,4,10,250,17,1722015962.951422,100,250,17,3,9,10,0,1722015962.951422,120,1722015962.951351,250,17,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,124,1722015962.951712,1722015962.9664702,1722015962.966437,128,125,1722015962.966434,128,1722015962.966429,131,1931185666,1722015962.966429,95,4,12,252,7,1722015962.966428,100,252,7,3,9,12,0,1722015962.966428,120,1722015962.966356,252,7,12,0,1931185666,1722015962.961354,36,4,12,252,7,1722015962.966428,100,252,7,3,9,12,0,1722015962.966428,120,1722015962.966356,252,7,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,125,1722015962.9718478,1722015962.9864504,1722015962.986413,128,126,1722015962.986411,128,1722015962.986405,131,1931185666,1722015962.986405,95,4,14,254,7,1722015962.986405,100,254,7,3,9,14,0,1722015962.986404,120,1722015962.986335,254,7,14,0,1931185666,1722015962.981402,36,4,14,254,7,1722015962.986405,100,254,7,3,9,14,0,1722015962.986404,120,1722015962.986335,254,7,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,126,1722015962.9919853,1722015963.0064695,1722015963.006428,128,127,1722015963.006426,128,1722015963.00642,131,1931185666,1722015963.006419,95,4,0,256,7,1722015963.006419,100,256,7,3,9,0,0,1722015963.006418,120,1722015963.006336,256,7,0,0,1931185666,1722015963.001377,36,4,0,256,7,1722015963.006419,100,256,7,3,9,0,0,1722015963.006418,120,1722015963.006336,256,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,127,1722015963.0121205,1722015963.1115108,1722015963.111464,128,128,1722015963.111459,128,1722015963.111451,131,1931185666,1722015963.111451,2,4,3,266,17,1722015963.11145,7,266,17,3,8,3,0,1722015963.111449,55,1722015963.111372,266,17,3,0,1931185666,1722015963.026379,99,4,3,266,17,1722015963.11145,7,266,17,3,8,3,0,1722015963.111449,55,1722015963.111372,266,17,3,0,1931185666,1722015963.021426,30,4,3,266,17,1722015963.11145,7,266,17,3,8,3,0,1722015963.111449,55,1722015963.111372,266,17,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,128,1722015963.032253,1722015963.1215637,1722015963.121531,128,129,1722015963.121528,128,1722015963.121523,131,1931185666,1722015963.121522,110,4,4,267,17,1722015963.121521,115,267,17,4,8,4,1,1722015963.121521,572,1722015963.121348,267,17,4,1,1931185675,1722015963.111455,21,4,3,266,17,1722015963.111455,24,266,17,3,8,3,0,1722015963.111449,55,1722015963.111372,266,17,3,0,,,,,,,,,,,,,,,,,,,,,,,1722015963.116365,267,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,128,1722015963.032253,1722015963.1215637,1722015963.121532,128,130,1722015963.121531,128,1722015963.121525,131,1931185783,1722015963.121525,131,4,4,267,17,1722015963.121525,134,267,17,4,8,4,1,1722015963.121521,572,1722015963.121348,267,17,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015963.116365,267,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,128,1722015963.032253,1722015963.1215637,1722015963.121533,128,131,1722015963.121532,128,1722015963.121526,131,1931185919,1722015963.121526,131,4,4,267,17,1722015963.121526,134,267,17,4,8,4,1,1722015963.121521,572,1722015963.121348,267,17,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015963.116365,267,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,128,1722015963.032253,1722015963.1215637,1722015963.121534,128,132,1722015963.121534,128,1722015963.121527,131,1931186055,1722015963.121527,131,4,4,267,17,1722015963.121527,134,267,17,4,8,4,1,1722015963.121521,572,1722015963.121348,267,17,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015963.116365,267,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,132,1722015963.111726,1722015963.1314828,1722015963.13145,128,133,1722015963.131447,128,1722015963.131441,131,1931185666,1722015963.131441,89,4,6,268,17,1722015963.13144,94,268,17,4,8,6,0,1722015963.131439,110,1722015963.131369,268,17,6,0,1931185666,1722015963.126373,28,4,6,268,17,1722015963.13144,94,268,17,4,8,6,0,1722015963.131439,110,1722015963.131369,268,17,6,0,1931186191,1722015963.121528,14,4,4,267,17,1722015963.121528,17,267,17,4,8,4,1,1722015963.121521,572,1722015963.121348,267,17,4,1,,,,,,,,,,,1722015963.116365,267,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,133,1722015963.1318572,1722015963.231485,1722015963.231435,128,134,1722015963.23143,128,1722015963.231423,131,1931185666,1722015963.231423,2,4,9,278,17,1722015963.231422,7,278,17,3,8,9,0,1722015963.231421,55,1722015963.231347,278,17,9,0,1931185666,1722015963.146372,99,4,9,278,17,1722015963.231422,7,278,17,3,8,9,0,1722015963.231421,55,1722015963.231347,278,17,9,0,1931185666,1722015963.141402,30,4,9,278,17,1722015963.231422,7,278,17,3,8,9,0,1722015963.231421,55,1722015963.231347,278,17,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,134,1722015963.1519938,1722015963.2416184,1722015963.24158,128,135,1722015963.241578,128,1722015963.241572,131,1931185666,1722015963.241572,110,4,10,279,17,1722015963.241572,115,279,17,4,8,10,1,1722015963.24157,572,1722015963.241385,279,17,10,1,1931185675,1722015963.231426,21,4,9,278,17,1722015963.231426,24,278,17,3,8,9,0,1722015963.231421,55,1722015963.231347,278,17,9,0,,,,,,,,,,,,,,,,,,,,,,,1722015963.236332,279,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,134,1722015963.1519938,1722015963.2416184,1722015963.241582,128,136,1722015963.241581,128,1722015963.241575,131,1931185783,1722015963.241575,131,4,10,279,17,1722015963.241575,134,279,17,4,8,10,1,1722015963.24157,572,1722015963.241385,279,17,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015963.236332,279,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,134,1722015963.1519938,1722015963.2416184,1722015963.241583,128,137,1722015963.241582,128,1722015963.241576,131,1931185919,1722015963.241576,131,4,10,279,17,1722015963.241576,134,279,17,4,8,10,1,1722015963.24157,572,1722015963.241385,279,17,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015963.236332,279,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,134,1722015963.1519938,1722015963.2416184,1722015963.241584,128,138,1722015963.241584,128,1722015963.241577,131,1931186055,1722015963.241577,131,4,10,279,17,1722015963.241576,134,279,17,4,8,10,1,1722015963.24157,572,1722015963.241385,279,17,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015963.236332,279,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,139,1722015963.252656,1722015963.3671887,1722015963.367131,128,140,1722015963.366795,128,1722015963.266403,131,1931185666,1722015963.266403,44,4,0,284,7,1722015963.286393,104,284,7,3,8,0,0,1722015963.286392,110,1722015963.286315,284,7,0,0,1931185675,1722015963.261429,87,4,13,281,17,1722015963.261429,90,281,17,3,8,13,0,1722015963.261427,110,1722015963.261355,281,17,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,140,1722015963.271786,1722015963.3816264,1722015963.381587,128,141,1722015963.381584,128,1722015963.381561,131,1931185757,1722015963.381562,2,4,2,293,17,1722015963.381562,7,293,17,4,7,2,1,1722015963.381555,792,1722015963.381346,293,17,2,1,1931185748,1722015963.381561,2,4,2,293,17,1722015963.381561,7,293,17,4,7,2,1,1722015963.381555,792,1722015963.381346,293,17,2,1,1931185666,1722015963.286393,99,4,2,293,17,1722015963.381556,80,293,17,4,7,2,1,1722015963.381555,792,1722015963.381346,293,17,2,1,1722015963.376372,293,7,2,0,1722015963.376372,293,7,2,0,1722015963.376372,293,7,2,0,1931185666,1722015963.281394,30,4,2,293,17,1722015963.381556,80,293,17,4,7,2,1,1722015963.381555,792,1722015963.381346,293,17,2,1,1722015963.376372,293,7,2,0,,,,,,,,,,
142,140,1722015963.271786,1722015963.3816264,1722015963.381588,128,142,1722015963.381588,128,1722015963.381562,131,1931185766,1722015963.381562,131,4,2,293,17,1722015963.381562,134,293,17,4,7,2,1,1722015963.381555,792,1722015963.381346,293,17,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015963.376372,293,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,140,1722015963.271786,1722015963.3816264,1722015963.38159,128,143,1722015963.381589,128,1722015963.381562,131,1931185902,1722015963.381562,131,4,2,293,17,1722015963.381562,134,293,17,4,7,2,1,1722015963.381555,792,1722015963.381346,293,17,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015963.376372,293,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,140,1722015963.271786,1722015963.3816264,1722015963.381591,128,144,1722015963.38159,128,1722015963.381563,131,1931186038,1722015963.381563,131,4,2,293,17,1722015963.381562,134,293,17,4,7,2,1,1722015963.381555,792,1722015963.381346,293,17,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015963.376372,293,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,140,1722015963.271786,1722015963.3816264,1722015963.381592,128,145,1722015963.381592,128,1722015963.381563,131,1931186174,1722015963.381563,131,4,2,293,17,1722015963.381563,134,293,17,4,7,2,1,1722015963.381555,792,1722015963.381346,293,17,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015963.376372,293,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,145,1722015963.3724453,1722015963.3914707,1722015963.391434,128,146,1722015963.391432,128,1722015963.391426,131,1931185666,1722015963.391426,105,4,4,294,17,1722015963.391425,110,294,17,4,7,4,0,1722015963.391424,150,1722015963.391344,294,17,4,0,1931185666,1722015963.386393,26,4,4,294,17,1722015963.391425,110,294,17,4,7,4,0,1722015963.391424,150,1722015963.391344,294,17,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,146,1722015963.3925765,1722015963.4464695,1722015963.446424,128,147,1722015963.446423,128,1722015963.446412,131,1931185666,1722015963.446411,105,4,10,300,7,1722015963.446411,110,300,7,4,7,10,0,1722015963.44641,150,1722015963.446324,300,7,10,0,1931185666,1722015963.406412,26,4,10,300,7,1722015963.446411,110,300,7,4,7,10,0,1722015963.44641,150,1722015963.446324,300,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,148,1722015963.4317288,1722015963.4564726,1722015963.45644,128,149,1722015963.456437,128,1722015963.456432,131,1931185666,1722015963.456431,55,4,12,301,7,1722015963.456431,60,301,7,3,7,12,0,1722015963.45643,90,1722015963.45635,301,7,12,0,1931185666,1722015963.451419,24,4,12,301,7,1722015963.456431,60,301,7,3,7,12,0,1722015963.45643,90,1722015963.45635,301,7,12,0,1931185778,1722015963.446415,26,4,10,300,7,1722015963.446414,31,300,7,4,7,10,0,1722015963.44641,150,1722015963.446324,300,7,10,0,,,,,,,,,,,,,,,,1931185666,1722015963.441401,26,4,12,301,7,1722015963.456431,60,301,7,3,7,12,0,1722015963.45643,90,1722015963.45635,301,7,12,0,,,,,,,,,,,,,,,
150,149,1722015963.4518633,1722015963.5516098,1722015963.551557,128,150,1722015963.551552,128,1722015963.551545,131,1931185666,1722015963.551544,118,4,14,310,17,1722015963.551544,123,310,17,4,6,14,1,1722015963.551543,704,1722015963.551363,310,17,14,1,1931185666,1722015963.541406,22,4,14,310,17,1722015963.551544,123,310,17,4,6,14,1,1722015963.551543,704,1722015963.551363,310,17,14,1,,,,,,,,,,,,,,,,,,,,,,,1722015963.546336,310,7,14,0,1722015963.546336,310,7,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,149,1722015963.4518633,1722015963.5516098,1722015963.551559,128,151,1722015963.551558,128,1722015963.551548,131,1931185791,1722015963.551548,131,4,14,310,17,1722015963.551548,134,310,17,4,6,14,1,1722015963.551543,704,1722015963.551363,310,17,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015963.546336,310,7,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,149,1722015963.4518633,1722015963.5516098,1722015963.551561,128,152,1722015963.551559,128,1722015963.551549,131,1931185927,1722015963.551549,131,4,14,310,17,1722015963.551549,134,310,17,4,6,14,1,1722015963.551543,704,1722015963.551363,310,17,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015963.546336,310,7,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,149,1722015963.4518633,1722015963.5516098,1722015963.551562,128,153,1722015963.551561,128,1722015963.551549,131,1931186063,1722015963.551549,131,4,14,310,17,1722015963.551549,134,310,17,4,6,14,1,1722015963.551543,704,1722015963.551363,310,17,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015963.546336,310,7,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,149,1722015963.4518633,1722015963.5516098,1722015963.551563,128,154,1722015963.551562,128,1722015963.55155,131,1931186199,1722015963.55155,131,4,14,310,17,1722015963.55155,134,310,17,4,6,14,1,1722015963.551543,704,1722015963.551363,310,17,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015963.546336,310,7,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,154,1722015963.5525243,1722015963.571468,1722015963.571432,128,155,1722015963.571429,128,1722015963.571423,131,1931185666,1722015963.571423,109,4,1,312,17,1722015963.571422,114,312,17,3,6,1,0,1722015963.571421,160,1722015963.571348,312,17,1,0,1931185666,1722015963.56642,22,4,1,312,17,1722015963.571422,114,312,17,3,6,1,0,1722015963.571421,160,1722015963.571348,312,17,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,155,1722015963.572656,1722015963.5915153,1722015963.59148,128,156,1722015963.591475,128,1722015963.591469,131,1931185666,1722015963.591469,109,4,3,314,17,1722015963.591469,114,314,17,3,6,3,0,1722015963.591468,160,1722015963.591397,314,17,3,0,1931185666,1722015963.586398,22,4,3,314,17,1722015963.591469,114,314,17,3,6,3,0,1722015963.591468,160,1722015963.591397,314,17,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,156,1722015963.59173,1722015963.6064405,1722015963.606405,128,157,1722015963.606402,128,1722015963.606397,131,1931185666,1722015963.606397,109,4,5,316,7,1722015963.606397,114,316,7,3,6,5,0,1722015963.606396,160,1722015963.606325,316,7,5,0,1931185666,1722015963.601422,22,4,5,316,7,1722015963.606397,114,316,7,3,6,5,0,1722015963.606396,160,1722015963.606325,316,7,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,157,1722015963.6118684,1722015963.6264453,1722015963.626408,128,158,1722015963.626405,128,1722015963.6264,131,1931185666,1722015963.6264,109,4,8,318,7,1722015963.6264,114,318,7,3,6,8,0,1722015963.626399,160,1722015963.626323,318,7,8,0,1931185666,1722015963.62139,22,4,8,318,7,1722015963.6264,114,318,7,3,6,8,0,1722015963.626399,160,1722015963.626323,318,7,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,158,1722015963.6320007,1722015963.6465046,1722015963.646451,128,159,1722015963.646447,128,1722015963.646435,131,1931185666,1722015963.646435,109,4,9,320,7,1722015963.646435,114,320,7,3,6,9,0,1722015963.646434,160,1722015963.646366,320,7,9,0,1931185666,1722015963.641426,22,4,9,320,7,1722015963.646435,114,320,7,3,6,9,0,1722015963.646434,160,1722015963.646366,320,7,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,159,1722015963.652134,1722015963.666495,1722015963.666446,128,160,1722015963.666443,128,1722015963.666436,131,1931185666,1722015963.666436,109,4,11,322,7,1722015963.666435,114,322,7,3,6,11,0,1722015963.666435,160,1722015963.666349,322,7,11,0,1931185666,1722015963.661465,22,4,11,322,7,1722015963.666435,114,322,7,3,6,11,0,1722015963.666435,160,1722015963.666349,322,7,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,160,1722015963.672267,1722015963.6864903,1722015963.686421,128,161,1722015963.686418,128,1722015963.68641,131,1931185666,1722015963.686409,109,4,13,324,7,1722015963.686408,114,324,7,3,6,13,0,1722015963.686406,160,1722015963.686323,324,7,13,0,1931185666,1722015963.681401,22,4,13,324,7,1722015963.686408,114,324,7,3,6,13,0,1722015963.686406,160,1722015963.686323,324,7,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,161,1722015963.6924038,1722015963.711575,1722015963.711487,128,162,1722015963.711482,128,1722015963.711474,131,1931185666,1722015963.711473,109,4,14,326,17,1722015963.711473,114,326,17,3,6,14,0,1722015963.711472,160,1722015963.711371,326,17,14,0,1931185666,1722015963.706402,22,4,14,326,17,1722015963.711473,114,326,17,3,6,14,0,1722015963.711472,160,1722015963.711371,326,17,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,162,1722015963.7125406,1722015963.7314963,1722015963.731462,128,163,1722015963.731458,128,1722015963.731452,131,1931185666,1722015963.731452,109,4,1,328,17,1722015963.731452,114,328,17,3,6,1,0,1722015963.731449,160,1722015963.731361,328,17,1,0,1931185666,1722015963.726377,22,4,1,328,17,1722015963.731452,114,328,17,3,6,1,0,1722015963.731449,160,1722015963.731361,328,17,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,163,1722015963.7326787,1722015963.7515247,1722015963.751448,128,164,1722015963.751443,128,1722015963.751436,131,1931185666,1722015963.751436,109,4,3,330,17,1722015963.751435,114,330,17,3,6,3,0,1722015963.751434,160,1722015963.751345,330,17,3,0,1931185666,1722015963.746483,22,4,3,330,17,1722015963.751435,114,330,17,3,6,3,0,1722015963.751434,160,1722015963.751345,330,17,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,164,1722015963.7518177,1722015963.766473,1722015963.766441,128,165,1722015963.766438,128,1722015963.766431,131,1931185666,1722015963.766431,109,4,5,332,7,1722015963.766431,114,332,7,3,6,5,0,1722015963.76643,160,1722015963.766345,332,7,5,0,1931185666,1722015963.761438,22,4,5,332,7,1722015963.766431,114,332,7,3,6,5,0,1722015963.76643,160,1722015963.766345,332,7,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
